# N15 + a > F19 + g   [N15_a__F19_g]   ref=Iliadis et al. 2010
# detailed balance: alpha=5.5441e+10 beta=1.5 gamma=-46.5775  Q=4.0137
# T9                 rate                error
1.000000e-03   1.000000e-35   1.000000e+00
1.009262e-03   9.956807e-36   1.000000e+00
1.018610e-03   9.915675e-36   1.000000e+00
1.028045e-03   9.876549e-36   1.000000e+00
1.037567e-03   9.839379e-36   1.000000e+00
1.047177e-03   9.804114e-36   1.000000e+00
1.056876e-03   9.770706e-36   1.000000e+00
1.066665e-03   9.739108e-36   1.000000e+00
1.076545e-03   9.709274e-36   1.000000e+00
1.086516e-03   9.681161e-36   1.000000e+00
1.096579e-03   9.654724e-36   1.000000e+00
1.106736e-03   9.629923e-36   1.000000e+00
1.116987e-03   9.606715e-36   1.000000e+00
1.127333e-03   9.585063e-36   1.000000e+00
1.137774e-03   9.564927e-36   1.000000e+00
1.148312e-03   9.546270e-36   1.000000e+00
1.158948e-03   9.529054e-36   1.000000e+00
1.169683e-03   9.513244e-36   1.000000e+00
1.180517e-03   9.498805e-36   1.000000e+00
1.191451e-03   9.485703e-36   1.000000e+00
1.202486e-03   9.473904e-36   1.000000e+00
1.213624e-03   9.463375e-36   1.000000e+00
1.224865e-03   9.454085e-36   1.000000e+00
1.236210e-03   9.446000e-36   1.000000e+00
1.247660e-03   9.439091e-36   1.000000e+00
1.259216e-03   9.433327e-36   1.000000e+00
1.270879e-03   9.428678e-36   1.000000e+00
1.282650e-03   9.425114e-36   1.000000e+00
1.294530e-03   9.422606e-36   1.000000e+00
1.306520e-03   9.421125e-36   1.000000e+00
1.318621e-03   9.420643e-36   1.000000e+00
1.330835e-03   9.421133e-36   1.000000e+00
1.343161e-03   9.422565e-36   1.000000e+00
1.355602e-03   9.424913e-36   1.000000e+00
1.368158e-03   9.428149e-36   1.000000e+00
1.380830e-03   9.432247e-36   1.000000e+00
1.393619e-03   9.437179e-36   1.000000e+00
1.406527e-03   9.442919e-36   1.000000e+00
1.419555e-03   9.449440e-36   1.000000e+00
1.432703e-03   9.456716e-36   1.000000e+00
1.445973e-03   9.464720e-36   1.000000e+00
1.459366e-03   9.473427e-36   1.000000e+00
1.472883e-03   9.482811e-36   1.000000e+00
1.486525e-03   9.492844e-36   1.000000e+00
1.500293e-03   9.503501e-36   1.000000e+00
1.514189e-03   9.514756e-36   1.000000e+00
1.528214e-03   9.526582e-36   1.000000e+00
1.542369e-03   9.538954e-36   1.000000e+00
1.556654e-03   9.551846e-36   1.000000e+00
1.571072e-03   9.565230e-36   1.000000e+00
1.585624e-03   9.579081e-36   1.000000e+00
1.600310e-03   9.593372e-36   1.000000e+00
1.615133e-03   9.608077e-36   1.000000e+00
1.630092e-03   9.623169e-36   1.000000e+00
1.645191e-03   9.638621e-36   1.000000e+00
1.660429e-03   9.654406e-36   1.000000e+00
1.675808e-03   9.670498e-36   1.000000e+00
1.691330e-03   9.686868e-36   1.000000e+00
1.706995e-03   9.703490e-36   1.000000e+00
1.722805e-03   9.720335e-36   1.000000e+00
1.738762e-03   9.737376e-36   1.000000e+00
1.754867e-03   9.754586e-36   1.000000e+00
1.771121e-03   9.771935e-36   1.000000e+00
1.787526e-03   9.789396e-36   1.000000e+00
1.804082e-03   9.806940e-36   1.000000e+00
1.820792e-03   9.824538e-36   1.000000e+00
1.837656e-03   9.842161e-36   1.000000e+00
1.854677e-03   9.859781e-36   1.000000e+00
1.871855e-03   9.877367e-36   1.000000e+00
1.889193e-03   9.894889e-36   1.000000e+00
1.906691e-03   9.912320e-36   1.000000e+00
1.924351e-03   9.929627e-36   1.000000e+00
1.942175e-03   9.946781e-36   1.000000e+00
1.960163e-03   9.963752e-36   1.000000e+00
1.978319e-03   9.980508e-36   1.000000e+00
1.996642e-03   9.997020e-36   1.000000e+00
2.015136e-03   1.001326e-35   1.000000e+00
2.033800e-03   1.002918e-35   1.000000e+00
2.052638e-03   1.004477e-35   1.000000e+00
2.071650e-03   1.006000e-35   1.000000e+00
2.090838e-03   1.007481e-35   1.000000e+00
