# Be7 + d > a + a + p   [Be7_d__a_a_p]   ref=Rijal et al. 2019
# detailed balance: alpha=9.9579e-10 beta=-1.5 gamma=-194.572  Q=16.767
# T9                 rate                error
1.000000e-03   1.135700e-40   3.000000e+00
1.009262e-03   1.652069e-40   3.000000e+00
1.018610e-03   2.400465e-40   3.000000e+00
1.028045e-03   3.483910e-40   3.000000e+00
1.037567e-03   5.050609e-40   3.000000e+00
1.047177e-03   7.313532e-40   3.000000e+00
1.056876e-03   1.057836e-39   3.000000e+00
1.066665e-03   1.528335e-39   3.000000e+00
1.076545e-03   2.205612e-39   3.000000e+00
1.086516e-03   3.179443e-39   3.000000e+00
1.096579e-03   4.578105e-39   3.000000e+00
1.106736e-03   6.584676e-39   3.000000e+00
1.116987e-03   9.460152e-39   3.000000e+00
1.127333e-03   1.357620e-38   3.000000e+00
1.137774e-03   1.946149e-38   3.000000e+00
1.148312e-03   2.786715e-38   3.000000e+00
1.158948e-03   3.985926e-38   3.000000e+00
1.169683e-03   5.694913e-38   3.000000e+00
1.180517e-03   8.127697e-38   3.000000e+00
1.191451e-03   1.158702e-37   3.000000e+00
1.202486e-03   1.650064e-37   3.000000e+00
1.213624e-03   2.347232e-37   3.000000e+00
1.224865e-03   3.335329e-37   3.000000e+00
1.236210e-03   4.734237e-37   3.000000e+00
1.247660e-03   6.712607e-37   3.000000e+00
1.259216e-03   9.507437e-37   3.000000e+00
1.270879e-03   1.345142e-36   3.000000e+00
1.282650e-03   1.901105e-36   3.000000e+00
1.294530e-03   2.683979e-36   3.000000e+00
1.306520e-03   3.785192e-36   3.000000e+00
1.318621e-03   5.332538e-36   3.000000e+00
1.330835e-03   7.504443e-36   3.000000e+00
1.343161e-03   1.054976e-35   3.000000e+00
1.355602e-03   1.481521e-35   3.000000e+00
1.368158e-03   2.078332e-35   3.000000e+00
1.380830e-03   2.912496e-35   3.000000e+00
1.393619e-03   4.077185e-35   3.000000e+00
1.406527e-03   5.701660e-35   3.000000e+00
1.419555e-03   7.965062e-35   3.000000e+00
1.432703e-03   1.111541e-34   3.000000e+00
1.445973e-03   1.549569e-34   3.000000e+00
1.459366e-03   2.157979e-34   3.000000e+00
1.472883e-03   3.002171e-34   3.000000e+00
1.486525e-03   4.172311e-34   3.000000e+00
1.500293e-03   5.792585e-34   3.000000e+00
1.514189e-03   8.033849e-34   3.000000e+00
1.528214e-03   1.113094e-33   3.000000e+00
1.542369e-03   1.540629e-33   3.000000e+00
1.556654e-03   2.130215e-33   3.000000e+00
1.571072e-03   2.942452e-33   3.000000e+00
1.585624e-03   4.060289e-33   3.000000e+00
1.600310e-03   5.597158e-33   3.000000e+00
1.615133e-03   7.708011e-33   3.000000e+00
1.630092e-03   1.060431e-32   3.000000e+00
1.645191e-03   1.457435e-32   3.000000e+00
1.660429e-03   2.001077e-32   3.000000e+00
1.675808e-03   2.744780e-32   3.000000e+00
1.691330e-03   3.761158e-32   3.000000e+00
1.706995e-03   5.148813e-32   3.000000e+00
1.722805e-03   7.041504e-32   3.000000e+00
1.738762e-03   9.620500e-32   3.000000e+00
1.754867e-03   1.313122e-31   3.000000e+00
1.771121e-03   1.790560e-31   3.000000e+00
1.787526e-03   2.439218e-31   3.000000e+00
1.804082e-03   3.319640e-31   3.000000e+00
1.820792e-03   4.513479e-31   3.000000e+00
1.837656e-03   6.130745e-31   3.000000e+00
1.854677e-03   8.319509e-31   3.000000e+00
1.871855e-03   1.127888e-30   3.000000e+00
1.889193e-03   1.527633e-30   3.000000e+00
1.906691e-03   2.067085e-30   3.000000e+00
1.924351e-03   2.794379e-30   3.000000e+00
1.942175e-03   3.773991e-30   3.000000e+00
1.960163e-03   5.092210e-30   3.000000e+00
1.978319e-03   6.864404e-30   3.000000e+00
1.996642e-03   9.244678e-30   3.000000e+00
2.015136e-03   1.243868e-29   3.000000e+00
2.033800e-03   1.672059e-29   3.000000e+00
2.052638e-03   2.245562e-29   3.000000e+00
2.071650e-03   3.012976e-29   3.000000e+00
2.090838e-03   4.038915e-29   3.000000e+00
2.110203e-03   5.409206e-29   3.000000e+00
2.129749e-03   7.237745e-29   3.000000e+00
2.149475e-03   9.675539e-29   3.000000e+00
2.169384e-03   1.292262e-28   3.000000e+00
2.189477e-03   1.724370e-28   3.000000e+00
2.209756e-03   2.298879e-28   3.000000e+00
2.230223e-03   3.062026e-28   3.000000e+00
2.250880e-03   4.074835e-28   3.000000e+00
2.271728e-03   5.417771e-28   3.000000e+00
2.292769e-03   7.196842e-28   3.000000e+00
2.314005e-03   9.551581e-28   3.000000e+00
2.335438e-03   1.266548e-27   3.000000e+00
2.357069e-03   1.677964e-27   3.000000e+00
2.378901e-03   2.221055e-27   3.000000e+00
2.400935e-03   2.937329e-27   3.000000e+00
2.423173e-03   3.881183e-27   3.000000e+00
2.445617e-03   5.123833e-27   3.000000e+00
2.468268e-03   6.758438e-27   3.000000e+00
2.491130e-03   8.906755e-27   3.000000e+00
2.514203e-03   1.172777e-26   3.000000e+00
2.537490e-03   1.542894e-26   3.000000e+00
2.560993e-03   2.028065e-26   3.000000e+00
2.584714e-03   2.663509e-26   3.000000e+00
2.608654e-03   3.495060e-26   3.000000e+00
2.632815e-03   4.582306e-26   3.000000e+00
2.657201e-03   6.002662e-26   3.000000e+00
2.681813e-03   7.856612e-26   3.000000e+00
2.706652e-03   1.027447e-25   3.000000e+00
2.731722e-03   1.342511e-25   3.000000e+00
2.757023e-03   1.752714e-25   3.000000e+00
2.782559e-03   2.286342e-25   3.000000e+00
2.808332e-03   2.979948e-25   3.000000e+00
2.834343e-03   3.880747e-25   3.000000e+00
2.860596e-03   5.049659e-25   3.000000e+00
2.887091e-03   6.565232e-25   3.000000e+00
2.913832e-03   8.528660e-25   3.000000e+00
2.940820e-03   1.107020e-24   3.000000e+00
2.968059e-03   1.435737e-24   3.000000e+00
2.995549e-03   1.860547e-24   3.000000e+00
3.023295e-03   2.409095e-24   3.000000e+00
3.051297e-03   3.116850e-24   3.000000e+00
3.079559e-03   4.029278e-24   3.000000e+00
3.108082e-03   5.204622e-24   3.000000e+00
3.136870e-03   6.717422e-24   3.000000e+00
3.165924e-03   8.663006e-24   3.000000e+00
3.195248e-03   1.116319e-23   3.000000e+00
3.224842e-03   1.437349e-23   3.000000e+00
3.254712e-03   1.849233e-23   3.000000e+00
