# Li6 + p > He3 + a   [Li6_p__He3_a]   ref=NACRE, Xu et al. 2010, 2011
# detailed balance: alpha=1.06729 beta=0 gamma=-46.6469  Q=4.01972
# T9                 rate                error
1.000000e-03   1.000000e-24   1.067700e+00
1.009262e-03   1.286334e-24   1.067652e+00
1.018610e-03   1.653399e-24   1.067605e+00
1.028045e-03   2.123598e-24   1.067558e+00
1.037567e-03   2.725454e-24   1.067511e+00
1.047177e-03   3.495245e-24   1.067464e+00
1.056876e-03   4.479087e-24   1.067417e+00
1.066665e-03   5.735551e-24   1.067371e+00
1.076545e-03   7.338972e-24   1.067325e+00
1.086516e-03   9.383624e-24   1.067280e+00
1.096579e-03   1.198897e-23   1.067234e+00
1.106736e-03   1.530628e-23   1.067189e+00
1.116987e-03   1.952697e-23   1.067145e+00
1.127333e-03   2.489305e-23   1.067100e+00
1.137774e-03   3.171029e-23   1.067056e+00
1.148312e-03   4.036469e-23   1.067012e+00
1.158948e-03   5.134324e-23   1.066968e+00
1.169683e-03   6.525982e-23   1.066925e+00
1.180517e-03   8.288769e-23   1.066881e+00
1.191451e-03   1.052002e-22   1.066838e+00
1.202486e-03   1.334216e-22   1.066796e+00
1.213624e-03   1.690905e-22   1.066753e+00
1.224865e-03   2.141396e-22   1.066711e+00
1.236210e-03   2.709941e-22   1.066670e+00
1.247660e-03   3.426957e-22   1.066628e+00
1.259216e-03   4.330559e-22   1.066587e+00
1.270879e-03   5.468480e-22   1.066546e+00
1.282650e-03   6.900448e-22   1.066505e+00
1.294530e-03   8.701151e-22   1.066465e+00
1.306520e-03   1.096391e-21   1.066425e+00
1.318621e-03   1.380526e-21   1.066385e+00
1.330835e-03   1.737058e-21   1.066345e+00
1.343161e-03   2.184116e-21   1.066306e+00
1.355602e-03   2.744286e-21   1.066267e+00
1.368158e-03   3.445689e-21   1.066229e+00
1.380830e-03   4.323311e-21   1.066190e+00
1.393619e-03   5.420650e-21   1.066152e+00
1.406527e-03   6.791744e-21   1.066114e+00
1.419555e-03   8.503684e-21   1.066077e+00
1.432703e-03   1.063970e-20   1.066040e+00
1.445973e-03   1.330298e-20   1.066003e+00
1.459366e-03   1.662136e-20   1.065966e+00
1.472883e-03   2.075310e-20   1.065930e+00
1.486525e-03   2.589397e-20   1.065894e+00
1.500293e-03   3.228602e-20   1.065858e+00
1.514189e-03   4.022825e-20   1.065823e+00
1.528214e-03   5.008980e-20   1.065788e+00
1.542369e-03   6.232607e-20   1.065753e+00
1.556654e-03   7.749847e-20   1.065718e+00
1.571072e-03   9.629865e-20   1.065684e+00
1.585624e-03   1.195781e-19   1.065650e+00
1.600310e-03   1.483844e-19   1.065617e+00
1.615133e-03   1.840054e-19   1.065583e+00
1.630092e-03   2.280234e-19   1.065550e+00
1.645191e-03   2.823811e-19   1.065518e+00
1.660429e-03   3.494618e-19   1.065485e+00
1.675808e-03   4.321877e-19   1.065453e+00
1.691330e-03   5.341393e-19   1.065422e+00
1.706995e-03   6.597003e-19   1.065390e+00
1.722805e-03   8.142348e-19   1.065359e+00
1.738762e-03   1.004302e-18   1.065328e+00
1.754867e-03   1.237915e-18   1.065298e+00
1.771121e-03   1.524862e-18   1.065268e+00
1.787526e-03   1.877084e-18   1.065238e+00
1.804082e-03   2.309146e-18   1.065208e+00
1.820792e-03   2.838795e-18   1.065179e+00
1.837656e-03   3.487647e-18   1.065150e+00
1.854677e-03   4.282008e-18   1.065122e+00
1.871855e-03   5.253874e-18   1.065093e+00
1.889193e-03   6.442133e-18   1.065065e+00
1.906691e-03   7.894023e-18   1.065038e+00
1.924351e-03   9.666882e-18   1.065011e+00
1.942175e-03   1.183027e-17   1.064984e+00
1.960163e-03   1.446849e-17   1.064957e+00
1.978319e-03   1.768372e-17   1.064931e+00
1.996642e-03   2.159962e-17   1.064905e+00
2.015136e-03   2.636583e-17   1.064879e+00
2.033800e-03   3.216329e-17   1.064853e+00
2.052638e-03   3.921063e-17   1.064828e+00
2.071650e-03   4.777186e-17   1.064803e+00
2.090838e-03   5.816561e-17   1.064778e+00
2.110203e-03   7.077613e-17   1.064753e+00
2.129749e-03   8.606657e-17   1.064728e+00
2.149475e-03   1.045948e-16   1.064703e+00
2.169384e-03   1.270323e-16   1.064679e+00
2.189477e-03   1.541870e-16   1.064655e+00
2.209756e-03   1.870300e-16   1.064631e+00
2.230223e-03   2.267282e-16   1.064607e+00
2.250880e-03   2.746826e-16   1.064583e+00
2.271728e-03   3.325745e-16   1.064560e+00
2.292769e-03   4.024201e-16   1.064537e+00
2.314005e-03   4.866356e-16   1.064514e+00
2.335438e-03   5.881152e-16   1.064492e+00
2.357069e-03   7.103232e-16   1.064469e+00
2.378901e-03   8.574034e-16   1.064447e+00
2.400935e-03   1.034310e-15   1.064425e+00
2.423173e-03   1.246963e-15   1.064404e+00
2.445617e-03   1.502430e-15   1.064382e+00
2.468268e-03   1.809146e-15   1.064362e+00
2.491130e-03   2.177168e-15   1.064341e+00
2.514203e-03   2.618487e-15   1.064321e+00
2.537490e-03   3.147383e-15   1.064301e+00
2.560993e-03   3.780856e-15   1.064281e+00
2.584714e-03   4.539132e-15   1.064261e+00
2.608654e-03   5.446259e-15   1.064242e+00
2.632815e-03   6.530814e-15   1.064224e+00
2.657201e-03   7.826734e-15   1.064205e+00
2.681813e-03   9.374300e-15   1.064187e+00
2.706652e-03   1.122129e-14   1.064170e+00
2.731722e-03   1.342434e-14   1.064152e+00
2.757023e-03   1.605057e-14   1.064136e+00
2.782559e-03   1.917943e-14   1.064119e+00
2.808332e-03   2.290496e-14   1.064103e+00
2.834343e-03   2.733836e-14   1.064087e+00
2.860596e-03   3.261109e-14   1.064072e+00
2.887091e-03   3.887845e-14   1.064057e+00
2.913832e-03   4.632377e-14   1.064043e+00
2.940820e-03   5.516339e-14   1.064029e+00
2.968059e-03   6.565243e-14   1.064015e+00
2.995549e-03   7.809157e-14   1.064002e+00
